
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

inhibitor,activator,inhibitor_dt,activator_dt,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.673,0.88314,0.146,
0.48,0.673,1.24574,0.146,
-0.2452,0.349943,0.76642,-0.500114,

0.6,0.85,1.574,0.2,
-0.280266,0.423112,0.937046,-0.653775,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
